iter	Passed	Remaining
0	0	924
1	1	813
2	2	786
3	3	749
4	3	717
5	4	700
6	4	674
7	5	665
8	5	652
9	6	641
10	6	626
11	7	624
12	8	611
13	8	606
14	9	599
15	9	594
16	10	585
17	10	582
18	11	576
19	11	568
20	12	562
21	12	558
22	12	551
23	13	547
24	13	544
25	14	541
26	15	551
27	15	546
28	16	544
29	16	540
30	17	537
31	17	536
32	18	532
33	18	528
34	19	525
35	19	521
36	20	539
37	21	535
38	21	535
39	22	536
40	23	538
41	23	540
42	24	539
43	24	537
44	25	537
45	26	540
46	26	539
47	27	542
48	27	541
49	28	537
50	28	535
51	29	533
52	29	530
53	30	528
54	30	526
55	31	526
56	31	524
57	32	523
58	32	521
59	33	519
60	33	517
61	34	516
62	34	514
63	35	512
64	35	510
65	36	509
66	36	508
67	36	506
68	37	504
69	37	504
70	38	502
71	38	500
72	39	498
73	39	497
74	40	496
75	40	494
76	41	493
77	41	491
78	42	490
79	42	489
80	43	489
81	43	487
82	44	486
83	44	484
84	44	484
85	45	482
86	45	482
87	46	480
88	46	479
89	47	478
90	47	477
91	48	475
92	48	475
93	49	473
94	49	473
95	50	473
96	51	477
97	52	478
98	52	479
99	53	478
100	53	476
101	54	476
102	54	476
103	55	475
104	55	474
105	56	473
106	56	473
107	57	472
108	57	471
109	58	469
110	58	468
111	58	467
112	59	466
113	59	465
114	60	464
115	60	463
116	61	462
117	61	461
118	62	460
119	62	460
120	63	459
121	63	459
122	64	458
123	64	458
124	65	457
125	65	456
126	66	455
127	66	455
128	67	454
129	67	454
130	68	453
131	68	453
132	69	452
133	69	451
134	70	451
135	70	450
136	71	449
137	71	449
138	72	449
139	73	448
140	73	447
141	73	446
142	74	446
143	74	445
144	75	444
145	75	444
146	76	443
147	77	443
148	77	442
149	78	442
150	78	441
151	79	441
152	79	440
153	80	440
154	80	440
155	81	439
156	81	439
157	82	438
158	82	438
159	83	437
160	83	436
161	84	435
162	84	435
163	85	434
164	85	433
165	86	433
166	86	432
167	87	432
168	87	431
169	88	430
170	88	429
171	89	429
172	89	428
173	90	427
174	90	428
175	91	427
176	91	426
177	92	426
178	92	425
179	93	425
180	93	425
181	94	424
182	95	424
183	95	423
184	96	423
185	96	424
186	97	423
187	97	422
188	98	421
189	98	421
190	99	420
191	99	420
192	100	420
193	101	419
194	101	418
195	102	418
196	103	419
197	103	419
198	104	419
199	104	418
200	105	417
201	105	416
202	106	416
203	106	415
204	107	415
205	107	414
206	107	413
207	108	413
208	109	412
209	109	412
210	110	411
211	110	411
212	111	410
213	111	410
214	112	410
215	113	410
216	113	410
217	114	409
218	114	408
219	115	408
220	115	407
221	116	407
222	116	406
223	117	406
224	117	405
225	118	404
226	118	404
227	119	403
228	119	403
229	120	403
230	121	403
231	121	402
232	122	402
233	122	402
234	123	402
235	124	402
236	124	402
237	125	401
238	126	401
