iter	Passed	Remaining
0	1	1373
1	2	1283
2	3	1306
3	8	2006
4	10	2020
5	11	1916
6	12	1815
7	13	1714
8	14	1646
9	15	1578
10	17	1528
11	17	1475
12	19	1476
13	21	1483
14	22	1472
15	23	1449
16	24	1415
17	26	1418
18	27	1435
19	29	1422
20	30	1426
21	36	1641
22	38	1640
23	39	1617
24	40	1594
25	42	1573
26	43	1555
27	44	1531
28	45	1520
29	46	1519
30	48	1516
31	49	1511
32	51	1505
33	52	1499
34	54	1493
35	55	1491
36	57	1488
37	58	1481
38	60	1479
39	61	1468
40	62	1454
41	64	1466
42	66	1485
43	68	1493
44	71	1513
45	73	1529
46	76	1543
47	78	1558
48	81	1579
49	83	1595
50	85	1597
51	89	1623
52	91	1640
53	94	1657
54	97	1675
55	100	1696
56	103	1712
57	106	1726
58	109	1746
59	112	1756
60	114	1769
61	117	1780
62	120	1785
63	122	1788
64	125	1802
65	128	1812
66	130	1819
67	133	1827
68	135	1833
69	138	1843
70	141	1849
71	144	1866
72	147	1874
73	150	1880
74	152	1879
75	155	1894
76	160	1920
77	162	1926
78	165	1924
79	167	1925
80	170	1931
81	172	1933
82	174	1929
83	177	1936
84	180	1941
85	183	1945
86	185	1950
87	188	1955
88	191	1956
89	194	1963
90	197	1969
91	199	1972
92	202	1972
93	204	1974
94	207	1977
95	210	1986
96	213	1991
97	216	1989
98	218	1991
99	221	1993
100	223	1990
101	226	1991
102	229	1996
103	231	1996
104	235	2006
105	238	2007
106	241	2015
107	244	2019
108	247	2022
109	250	2025
110	253	2032
111	257	2038
112	260	2043
113	263	2045
114	265	2043
115	267	2040
116	270	2040
117	273	2044
118	277	2050
119	279	2052
120	282	2053
121	284	2050
122	287	2051
123	290	2050
124	293	2053
125	295	2047
126	297	2042
127	299	2041
128	302	2043
129	305	2041
130	307	2039
131	310	2038
132	312	2034
133	314	2034
134	318	2039
135	321	2042
136	324	2041
137	327	2043
138	330	2044
139	332	2044
140	335	2046
141	338	2047
142	341	2046
143	344	2049
144	348	2052
145	350	2049
146	352	2044
147	355	2044
148	357	2041
149	359	2039
150	362	2037
151	365	2036
152	367	2037
153	370	2035
154	372	2031
155	375	2031
156	377	2028
157	380	2025
158	382	2025
159	385	2025
160	387	2017
161	388	2011
162	391	2011
163	394	2008
164	396	2008
165	399	2009
166	402	2007
167	404	2003
168	407	2002
169	409	2001
170	412	2000
171	415	1999
172	417	1995
173	419	1992
174	422	1994
175	426	1997
176	429	1995
177	431	1992
178	433	1990
179	436	1989
180	439	1987
181	441	1986
182	444	1982
183	446	1977
184	449	1982
185	453	1982
186	455	1979
187	457	1976
188	459	1972
189	461	1967
190	463	1961
191	467	1966
192	469	1964
193	471	1960
194	473	1955
195	475	1950
196	476	1944
197	479	1940
198	480	1936
199	483	1932
200	484	1927
201	486	1920
202	487	1915
203	489	1909
204	490	1902
205	492	1896
206	493	1889
207	494	1882
208	496	1877
209	497	1872
210	499	1866
211	500	1860
212	502	1855
213	503	1849
214	504	1841
215	505	1834
216	506	1829
217	508	1822
218	509	1815
219	510	1811
220	512	1807
221	514	1802
222	515	1796
223	517	1791
224	518	1785
225	519	1779
226	521	1774
227	522	1768
228	524	1767
229	526	1762
230	527	1757
231	529	1752
232	530	1747
233	532	1742
234	533	1737
235	535	1733
236	537	1729
237	538	1725
238	540	1720
239	541	1715
240	543	1711
241	544	1706
242	546	1702
243	547	1697
244	549	1693
245	550	1687
246	551	1682
247	553	1677
248	554	1671
249	555	1666
250	557	1663
251	559	1660
252	560	1656
253	562	1653
254	564	1650
255	566	1646
256	567	1641
257	569	1638
258	571	1634
259	573	1632
260	574	1627
261	576	1624
262	577	1619
263	579	1614
264	580	1609
265	581	1605
266	583	1602
267	585	1597
268	586	1593
269	588	1591
270	590	1588
271	592	1584
272	593	1580
273	595	1576
274	596	1572
275	597	1567
276	598	1561
277	599	1557
278	601	1553
279	602	1549
280	604	1546
281	605	1541
282	607	1539
283	608	1534
284	609	1529
285	610	1525
286	612	1521
287	613	1517
288	615	1513
289	616	1509
290	618	1506
291	620	1503
292	621	1499
293	622	1495
294	624	1492
295	625	1488
296	627	1484
297	628	1481
298	630	1477
299	631	1473
300	632	1469
301	634	1466
302	636	1463
303	637	1460
304	639	1456
305	639	1451
306	640	1446
307	641	1441
308	642	1436
309	643	1433
310	645	1430
311	646	1426
312	647	1422
313	648	1417
314	650	1414
315	651	1409
316	652	1405
317	653	1400
318	654	1396
319	655	1391
320	656	1387
321	657	1383
322	658	1379
323	659	1375
324	659	1370
325	661	1366
326	662	1362
327	663	1358
328	664	1355
329	665	1350
330	665	1345
331	666	1341
332	667	1337
333	669	1334
334	670	1330
335	670	1325
336	671	1321
337	672	1317
338	673	1312
339	673	1308
340	674	1303
341	675	1299
342	676	1295
343	677	1291
344	678	1287
345	679	1283
346	679	1279
347	680	1274
348	681	1270
349	681	1266
350	682	1262
351	683	1257
352	683	1253
353	684	1249
354	685	1244
355	685	1240
356	687	1238
357	688	1234
358	689	1230
359	690	1227
360	691	1224
361	692	1221
362	694	1217
363	694	1213
364	695	1209
365	695	1205
366	696	1201
367	697	1197
